2025-09-08 18:17:37,801 | aci.level2.info | INFO | Memory load: episodic_memory
2025-09-08 18:28:22,400 | aci.level2.info | INFO | Simulation step started
2025-09-08 18:28:22,520 | aci.level2.info | INFO | Starting DMN step
2025-09-08 18:29:06,889 | aci.level2.info | INFO | Performance: dmn_step_duration = 44.36925387382507 seconds
2025-09-08 18:29:06,896 | aci.level2.info | INFO | Step completed
2025-09-08 18:29:07,402 | aci.level2.info | INFO | Simulation step started
2025-09-08 18:29:07,412 | aci.level2.info | INFO | Starting DMN step
2025-09-08 18:29:20,700 | aci.level2.info | INFO | Memory persist: floating_memory
2025-09-08 18:29:21,297 | aci.level2.info | INFO | Memory create: floating_memory
2025-09-08 18:29:21,342 | aci.level2.info | INFO | Performance: dmn_step_duration = 13.929913520812988 seconds
2025-09-08 18:29:21,355 | aci.level2.info | INFO | Step completed
2025-09-08 18:29:21,861 | aci.level2.info | INFO | Simulation step started
2025-09-08 18:29:21,872 | aci.level2.info | INFO | Starting DMN step
2025-09-08 18:30:09,335 | aci.level2.info | INFO | Memory persist: floating_memory
2025-09-08 18:30:09,834 | aci.level2.info | INFO | Memory create: floating_memory
2025-09-08 18:30:09,866 | aci.level2.info | INFO | Performance: dmn_step_duration = 47.99340534210205 seconds
2025-09-08 18:30:09,871 | aci.level2.info | INFO | Step completed
2025-09-08 18:30:10,376 | aci.level2.info | INFO | Simulation step started
2025-09-08 18:30:10,391 | aci.level2.info | INFO | Starting DMN step
2025-09-08 18:30:19,857 | aci.level2.info | INFO | Memory persist: floating_memory
2025-09-08 18:30:20,466 | aci.level2.info | INFO | Memory create: floating_memory
2025-09-08 18:30:20,516 | aci.level2.info | INFO | Performance: dmn_step_duration = 10.125349760055542 seconds
2025-09-08 18:30:20,522 | aci.level2.info | INFO | Step completed
2025-09-08 18:30:21,027 | aci.level2.info | INFO | Simulation step started
2025-09-08 18:30:29,864 | aci.level2.info | INFO | Starting DMN step
